ID;Название;Предмет;Классы;Класс от;Класс до;Формат;Тип участия;Рейтинг;Статус;Статус исходный;Календарь;Календарь статус;Календарь исходный;Расписание обновлено;Источник календаря;Уровень олимпиады;Профиль уровня;Статус уровня;Источник уровня;Дата проверки;Организатор;Контакты;Документы;Описание;Особенности;Источник;URL
5762;Олимпиада школьников «Ломоносов» по генетике;Биология;9–11 классы;9.0;11.0;Очно-заочная;Личная;8.0;Расписание не опубликовано;Расписание следующей олимпиады ожидается в октябре 2026 года;Публикация расписания: ожидается в октябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5762;II;генетика;"Проект РСОШ 2026/27; не утвержден на 24.09.2026";https://www.garant.ru/products/ipo/prime/doc/56963051/;24.09.2026;"Московский государственный университет имени М. В. Ломоносова; →; Биологический факультет МГУ";"olymp.msu.ru; olymp.bio@org.msu.ru";"Положение; →; Регламент; Положение об апелляциях";Соревнование ставит целью повышение интереса учеников к науке о наследственности. На олимпиаде представлены задания, касающиеся разных областей генетики. В первую очередь, это задачи по классической (менделевской), и молекулярной генетике, также в программу входит популяционная генетика и основы генетической инженерии. .. Состязание включает два обязательных этапа. Первый, отборочный, этап проводится заочно. Финал проходит в очном формате или дистанционно.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Олимпиада школьников «Ломоносов»;https://olimpiada.ru/activity/5762
20;Олимпиада школьников «Ломоносов» по фундаментальной медицине;Биология;6–11 классы;6.0;11.0;Очно-заочная;Личная;8.4;Расписание не опубликовано;Расписание следующей олимпиады ожидается в октябре 2026 года;Публикация расписания: ожидается в октябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/20;II;фундаментальная медицина;"Проект РСОШ 2026/27; не утвержден на 24.09.2026";https://www.garant.ru/products/ipo/prime/doc/56963051/;24.09.2026;"Московский государственный университет имени М. В. Ломоносова; →";"olymp.msu.ru; olymp@lomonosov.msu.ru";"Положение; →; Регламент; Положение об апелляциях";"Олимпиада по фундаментальной медицине ставит целью выявление талантливых и способных учеников, интересующихся медициной и биологией. .. Вопросы олимпиады включают несколько оригинальных задач различной специфики и уровня сложности. Для решения задач школьнику необходимо в достаточном объеме знать теоретический материал в области биологии, но совсем необязательно владеть сугубо специфическими медицинскими знаниями, знать обо всех болезнях, методах лечения и т.д. Задания ориентированы на применение эрудиции и творческого мышления в дополнение к тем знаниям, которые учащиеся получили из школьных предметов (не только биологии, но и химии, физики, математики и других). Медико-биологическая ( биомедицинская ) олимпиада школьников проводилась с 1999 года на факультете фундаментальной медицины. Изначально она являлась частью конкурсной программы, проводимой в рамках конференции для одаренных школьников «Шаг в Будущее»; с 2005-го года олимпиада приобрела самостоятельный статус, а участником смог стать любой желающий школьник России. С 2024 года Медико-биологическая олимпиада школьников вошла в состав олимпиады «Ломоносов».";Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Олимпиада школьников «Ломоносов»;https://olimpiada.ru/activity/20
5701;Олимпиада школьников «Путь к успеху» по биологии;Биология;9–11 классы;9.0;11.0;Очно-заочная;Личная;7.2;Итоги опубликованы;"Опубликованы итоги; следующее соревнование ожидается в ноябре 2026 года";"Следующее соревнование: Опубликованы итоги; следующее соревнование ожидается в ноябре 2026 года";Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5701;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Магнитогорский государственный технический университет имени Г. И. Носова; →";"molimp.magtu.ru; fdp_magtu@mail.ru";"Положение; →";Олимпиада «Путь к успеху» по биологии проводится в два тура. Участвовать в соревновании могут все желающие школьники 9-11 классов и учащиеся 1-3 курсов средних профессиональных учреждений. ..;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Многопрофильная олимпиада школьников «Путь к успеху»;https://olimpiada.ru/activity/5701
5735;Олимпиада школьников «Физтех» по биологии;Биология;9–11 классы;9.0;11.0;Очно-заочная;Личная;8.2;Расписание не опубликовано;Расписание следующей олимпиады ожидается в декабре 2026 года;Публикация расписания: ожидается в декабре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5735;II;биология;"Проект РСОШ 2026/27; не утвержден на 24.09.2026";https://www.garant.ru/products/ipo/prime/doc/56963051/;24.09.2026;"Московский физико-технический институт; →";"bio-olymp.mipt.ru; bio-olymp@mipt.ru";"Положение; →; Регламент";Олимпиада проводится для всех желающих учеников 9-11 классов с разным уровнем подготовки. Соревнование включает два этапа: отборочный и заключительный. .. Отборочный этап проводится в заочной форме. Победители и призеры отборочного этапа приглашаются в финал. Задания составляются по широкому кругу разделов биологии для каждого класса и ориентированы не столько на конкретные биологические знания, а сколько на умение анализировать приведенные в условии факты и делать по ним правильные выводы.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Олимпиада школьников «Физтех»;https://olimpiada.ru/activity/5735
5885;Онлайн-форум по биологии «Гены и геномы»;Биология;7–11 классы;7.0;11.0;;;6.7;Информация ожидается;Ожидается информация от организаторов;Обновление информации: ожидается информация от организаторов;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5885;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Физтех-школа биологической и медицинской физики; Московский физико-технический институт";genygenomy.ru;;Форум проводится для учеников старших классов и учителей. В рамках мероприятия участники смогут познакомиться с современными достижениями молекулярной биологии и молекулярной генетики, биотехнологии и биомедицины. .. Мероприятие для школьников включает лекции, биологические бои и викторину, а учителя могут пройти курс повышения квалификации.;;Каталог /activities;https://olimpiada.ru/activity/5885
6933;Открытая международная биологическая олимпиада;Биология;8–11 классы;8.0;11.0;Очная;Личная;6.6;Расписание не опубликовано;Расписание олимпиады в этом году пока не известно;Не опубликовано;Не опубликован;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/6933;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;;"oibo.siriusolymp.ru/...; oibo@talantiuspeh.ru";;OIBO — это международная олимпиада по биологии, направленная на вовлечение школьников в изучение и решение актуальных биологических и биотехнологических вопросов, а также на развитие международного сотрудничества и обмена опытом между участниками. .. Олимпиада состоит из трех туров: теоретического (индивидуального), практического (индивидуального) и проектного (командного). Принять участие могут школьники в возрасте от 14 до 18 лет включительно в составе команд до 6 участников. Команду может сопровождать один руководитель. Материалы заданий для участников предоставляются организаторами на русском и на английском языке, а также на национальном языке при наличии перевода от национального жюри.;Личная | Участник самостоятельно выполняет задания | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Международные олимпиады;https://olimpiada.ru/activity/6933
6973;Открытая региональная межвузовская олимпиада школьников по биологии;Биология;8–11 классы;8.0;11.0;Очно-заочная;Личная;6.8;Следующий цикл ожидается;Следующее соревнование начнется в октябре;Следующее соревнование: Следующее соревнование начнется в октябре;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/6973;—;;Этот профиль не найден в проекте РСОШ 2026/27;https://rsr-olymp.ru/news/123;24.09.2026;"Национальный исследовательский Томский государственный университет; →; Национальный исследовательский Томский политехнический университет; Томский государственный университет систем управления и радиоэлектроники; Сибирский государственный медицинской университет; Томский государственный архитектурно-строительный университет; Томский государственный педагогический университет";"abiturient.tsu.ru/...; ormo@mail.tsu.ru";"Положение; →; Регламент";;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Открытая региональная межвузовская олимпиада школьников;https://olimpiada.ru/activity/6973
5777;Пироговская олимпиада по биологии;Биология;9–11 классы;9.0;11.0;Очно-заочная;Личная;8.0;Расписание не опубликовано;Расписание следующей олимпиады ожидается в октябре 2026 года;Публикация расписания: ожидается в октябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5777;III;биология;"Проект РСОШ 2026/27; не утвержден на 24.09.2026";https://www.garant.ru/products/ipo/prime/doc/56963051/;24.09.2026;Российский национальный исследовательский медицинский университет имени Н. И. Пирогова;"rsmu.ru/...; olimpiada@rsmu.ru";"Положение и регламент; →";Олимпиада проходит для учеников 9-11 классов и студентов, получающих среднее профессиональное образование. Состязание включает два этапа. .. Отборочный этап проводится в заочном формате. Участники, успешно выполнившие задания, приглашаются на заключительный этап. Финал может проходить как очно, так и заочно.;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5777
4313;Республиканский Турнир юных биологов Татарстана;Биология;7–11 классы;7.0;11.0;Очная;Командная;5.5;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/4313;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"ГАУ «Республиканский олимпиадный центр» МОиН РТ; ФГАОУ ВПО «Казанский (Приволжский) федеральный университет»";"bioturnir.ru/...; z_ainur@mail.ru";"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/4313
5119;Северо-Восточная олимпиада по биологии;Биология;10–11 классы;10.0;11.0;Очно-заочная;Личная;7.4;Следующий цикл ожидается;Следующее соревнование начнется в ноябре 2026 года;Следующее соревнование: Следующее соревнование начнется в ноябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5119;—;;Этот профиль не найден в проекте РСОШ 2026/27;https://rsr-olymp.ru/news/123;24.09.2026;"Северо-Восточный федеральный университет имени М. К. Аммосова; →";"olympiadsvosh.s-vfu.ru/...; svosh.s-vfu@mail.ru";"Положение; →; Регламент";;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Северо-Восточная олимпиада;https://olimpiada.ru/activity/5119
6924;Томский Турнир юных биологов;Биология;7–11 классы;7.0;11.0;Очная;Командная;4.6;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/6924;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;;bioturnir.ru/...;"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/6924
6975;Турнир юных биологов Республики Марий Эл;Биология;7–11 классы;7.0;11.0;Очная;Командная;4.6;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/6975;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Региональный центр выявления; поддержки и развития способностей и талантов детей и молодежи Республики Марий Эл «Волгенче»";bioturnir.ru/...;"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/6975
5416;Турнир юных биологов Республики Якутия;Биология;7–11 классы;7.0;11.0;Очная;Командная;4.6;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5416;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Малая Академия наук Республики Саха (Якутия); Институт естественных наук СВФУ им. М. К. Аммосова";"bioturnir.ru/...; danila@bioturnir.ru";"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/5416
4327;Турнир юных биологов Санкт-Петербурга;Биология;7–11 классы;7.0;11.0;Очная;Командная;5.9;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/4327;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"ГБОУ ЦО Санкт-Петербургский городской дворец творчества юных; Эколого-биологический центр Крестовский остров";"bioturnir.ru/...; biolimp@mail.ru";"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/4327
6951;Турнир юных биологов Чувашской Республики;Биология;7–11 классы;7.0;11.0;Очная;Командная;4.6;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/6951;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;;bioturnir.ru/...;"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/6951
5057;Турнир юных биологов Юга России;Биология;7–11 классы;7.0;11.0;Очная;Командная;5.5;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5057;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Управление образования города Ростова-на-Дону; Академия биологии и биотехнологии Южного федерального университета";"bioturnir.ru/...; olga.cur@mail.ru";"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/5057
5868;Турнир юных биологов в Московской области;Биология;7–11 классы;7.0;11.0;Очная;Командная;4.6;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5868;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;;"bioturnir.ru/...; danila@bioturnir.ru";"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/5868
5689;Тюменский Турнир юных биологов;Биология;7–11 классы;7.0;11.0;Очная;Командная;5.5;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5689;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;Физико-математическая школа г. Тюмень;bioturnir.ru/...;"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/5689
5160;Университетская олимпиада школьников «Бельчонок» по биологии;Биология;9–11 классы;9.0;11.0;Очно-заочная;Личная;8.1;Этап запланирован;Отборочный этап пройдет с 1 октября до 12 января;"Отборочный этап: 1 окт—12 янв
Финал: 7 фев";Опубликован;"Отборочный этап
1 окт—12 янв
Финал
7 фев";Обновлено 11 сентября;https://olimpiada.ru/activity/5160;—;;Этот профиль не найден в проекте РСОШ 2026/27;https://rsr-olymp.ru/news/123;24.09.2026;Сибирский федеральный университет в лице Довузовского управления СФУ;"dovuz.sfu-kras.ru/...; dovuz@sfu-kras.ru";"Положение и регламент; →";;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Объединение: Университетская олимпиада школьников «Бельчонок»;https://olimpiada.ru/activity/5160
4315;Уральский Турнир юных биологов;Биология;7–11 классы;7.0;11.0;Очная;Командная;5.7;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/4315;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;Биологический департамент Уральского Федерального Университета имени первого Президента России Б.Н.Ельцина;"bioturnir.ru/...; e.zhuykova@list.ru";"Положение; →";;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/4315
56;Школьная биологическая олимпиада;Биология;6–11 классы;6.0;11.0;Очная;Личная;8.6;Расписание не опубликовано;Расписание следующей олимпиады ожидается в январе 2027 года;Публикация расписания: ожидается в январе 2027 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/56;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;Биологический факультет МГУ им. М. В. Ломоносова;"shbo.ru; info@shbo.ru";;Ученики 6-11 классов выполняют письменные и практические задания по различным разделам биологии;Личная | Участник самостоятельно выполняет задания | Очная | Для участия нужно прийти в заранее известное место проведения;Каталог /activities;https://olimpiada.ru/activity/56
5714;Южно-Уральский Турнир юных биологов;Биология;7–11 классы;7.0;11.0;Очная;Командная;5.7;Расписание не опубликовано;Расписание следующего турнира ожидается в сентябре 2026 года;Публикация расписания: ожидается в сентябре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5714;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Челябинский государственный университет; Челябинский областной многопрофильный лицей-интернат для одарённых детей";bioturnir.ru/...;"Положение; →";Турнир юных биологов является командно-личным соревнованием учащихся в их способности решать сложные биологические проблемные задачи, представлять решения и защищать их в научной дискуссии (биологическом бое). .. Южно-Уральский ТЮБ является региональным этапом Всероссийского Турнира юных биологов.;Командная | Участники выполняют задания вместе и борются за общий результат | Очная | Для участия нужно прийти в заранее известное место проведения;Объединение: Турнир юных биологов;https://olimpiada.ru/activity/5714
4356;Музеи. Парки. Усадьбы;"Биология; География; ИЗО; Искусство; История; Литература; Обществознание";1–11 классы;1.0;11.0;Очно-заочная;Лично-командная;8.9;Этап указан;Регистрация;"Регистрация: До 15 мар
Основной этап: До 31 мар";Опубликован;"Регистрация
До 15 мар
Основной этап
До 31 мар";Обновлено 1 сентября;https://olimpiada.ru/activity/4356;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Департамент образования и науки города Москвы; →; Департамент культуры города Москвы";"museum.cpm.moscow; museum.org@yandex.ru";"Положение; →";В олимпиаде «Музеи. Парки. Усадьбы» могут принять участие дошкольники и школьники любого возраста, индивидуально либо в команде из двух человек. Для этого достаточно зарегистрироваться. В ходе вводного тура участникам нужно выполнить задания на сайте олимпиады. .. Основной тур проходит с сентября по март, в это время ребята вместе с учителями и родителями посещают музеи, парки и усадьбы Москвы. В каждом пункте их ждут интересные задания, для решения которых необходимо изучить экспозицию. Параллельно с олимпиадой организаторы проводят различные конкурсы. Для участников, которые хорошо выступили на основном туре, проходит финальная игра-прогулка: им нужно выполнять задания в ходе интеллектуального квеста по Москве. Призеров и победителей награждают грамотами. «Музеи. Парки. Усадьбы» не столько проверяют знания школьников, сколько помогают им узнать что-то новое, расширить кругозор. Кроме того, для учителей это возможность заинтересовать учащихся своим предметом, а для музеев – возможность привлечь новых посетителей.;Лично-командная | Можно участвовать самостоятельно или собрать команду | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/4356
5369;Национальная технологическая олимпиада для школьников 8-11 классов;"Биология; География; Информатика; Математика; Обществознание; Робототехника; Технология; Физика; Химия";8–11 классы;8.0;11.0;Очно-заочная;Командная;8.6;Регистрация открыта;Регистрация открыта до 22 октября. Отборочный этап проходит до 23 октября;"Регистрация: До 22 окт
Первый отборочный этап: До 23 окт
Второй отборочный этап: 5 ноя—11 дек
Заключительный этап: дата не указана
Уточняется: дата не указана";Частично опубликован;"Регистрация
До 22 окт
Первый отборочный этап
До 23 окт
Второй отборочный этап
5 ноя—11 дек
Заключительный этап
Уточняется";Обновлено 26 августа;https://olimpiada.ru/activity/5369;I–III;"несколько профилей НТО; уровень зависит от профиля";"Проект РСОШ 2026/27: уровень зависит от профиля; не утвержден на 24.09.2026";https://www.garant.ru/products/ipo/prime/doc/56963051/;24.09.2026;"Вузы-партнеры и соорганизаторы; →";"ntcontest.ru; help@ntcontest.ru";"Положение и регламент; →";Национальная технологическая олимпиада – всероссийские командные инженерные соревнования. Старший трек открыт для школьников 8-11 классов и студентов 1-2 курсов СПО, поступивших после 9 класса. .. Задачи первого этапа школьники решают дистанционно. На втором этапе ребята объединяются в команды и проходят онлайн-обучение. По итогам отбора команды приглашаются на финал, где они работают с реальным инженерным оборудованием и применяют знания на практике.;Командная | Участники выполняют задания вместе и борются за общий результат | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5369
5746;Олимпиада школьников «Россия вокруг нас»;"Биология; География; Информатика; Математика; Физика; Химия; Экология";10–11 классы;10.0;11.0;Очно-заочная;Личная;6.8;Следующий цикл ожидается;Следующее соревнование пройдет в декабре 2026 года;Следующее соревнование: Следующее соревнование пройдет в декабре 2026 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5746;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Уральский государственный лесотехнический университет; →";"usfeu.ru/...; serova62@mail.ru";;;Личная | Участник самостоятельно выполняет задания | Очно-заочная | Нужно пройти дистанционный отбор, чтобы участвовать в очном финале;Каталог /activities;https://olimpiada.ru/activity/5746
5511;Летняя олимпиада Учи.ру;"Биология; География; Математика; Предпринимательство; Русский язык; Экология; Экономика";1–11 классы;1.0;11.0;Дистанционная;Личная;8.6;Следующий цикл ожидается;Следующая олимпиада ожидается в конце мая 2027 года;Следующая олимпиада: Следующая олимпиада ожидается в конце мая 2027 года;Частично заполнен по текущему статусу;Расписание олимпиады в этом году пока не известно;;https://olimpiada.ru/activity/5511;—;;Точное соответствие проекту РСОШ 2026/27 не найдено;https://rsr-olymp.ru/news/123;24.09.2026;"Образовательная платформа Учи.ру; →";"leto.uchi.ru; info@uchi.ru";"Правила; →";Олимпиада охватывает множество предметов и проводится в игровой форме. .. Ученики 1-9 классов выполняют задания по математике, русскому языку, финансовой грамотности и окружающему миру. Задания представлены в игровой форме и направлены на развитие нестандартного мышления. Они тренируют внимание, логику и пространственное воображение, но при этом не требуют углубленного знания школьной программы. На выполнение заданий дается 60 минут. Зарегистрировать учеников на олимпиаду могут учителя или родители. По итогам все участники олимпиады награждаются дипломами или почетными грамотами, а учителя – благодарственными письмами.;Личная | Участник самостоятельно выполняет задания | Дистанционная | Можно участвовать не выходя из дома, достаточно иметь компьютер с доступом в интернет;Объединение: Олимпиады Учи.ру;https://olimpiada.ru/activity/5511
